PING 10.0.0.1 (10.0.0.1) 56(84) bytes of data.
64 bytes from 10.0.0.1: icmp_seq=2 ttl=64 time=134 ms
64 bytes from 10.0.0.1: icmp_seq=3 ttl=64 time=119 ms
64 bytes from 10.0.0.1: icmp_seq=4 ttl=64 time=187 ms
64 bytes from 10.0.0.1: icmp_seq=5 ttl=64 time=214 ms
64 bytes from 10.0.0.1: icmp_seq=6 ttl=64 time=168 ms
64 bytes from 10.0.0.1: icmp_seq=7 ttl=64 time=222 ms
64 bytes from 10.0.0.1: icmp_seq=8 ttl=64 time=150 ms
64 bytes from 10.0.0.1: icmp_seq=9 ttl=64 time=217 ms
64 bytes from 10.0.0.1: icmp_seq=10 ttl=64 time=111 ms
64 bytes from 10.0.0.1: icmp_seq=11 ttl=64 time=116 ms
64 bytes from 10.0.0.1: icmp_seq=12 ttl=64 time=124 ms
64 bytes from 10.0.0.1: icmp_seq=13 ttl=64 time=143 ms
64 bytes from 10.0.0.1: icmp_seq=14 ttl=64 time=179 ms
64 bytes from 10.0.0.1: icmp_seq=15 ttl=64 time=184 ms
64 bytes from 10.0.0.1: icmp_seq=16 ttl=64 time=171 ms
64 bytes from 10.0.0.1: icmp_seq=17 ttl=64 time=283 ms
64 bytes from 10.0.0.1: icmp_seq=18 ttl=64 time=144 ms
64 bytes from 10.0.0.1: icmp_seq=19 ttl=64 time=192 ms
64 bytes from 10.0.0.1: icmp_seq=20 ttl=64 time=178 ms
64 bytes from 10.0.0.1: icmp_seq=21 ttl=64 time=160 ms
64 bytes from 10.0.0.1: icmp_seq=22 ttl=64 time=253 ms
64 bytes from 10.0.0.1: icmp_seq=23 ttl=64 time=235 ms
64 bytes from 10.0.0.1: icmp_seq=24 ttl=64 time=120 ms
64 bytes from 10.0.0.1: icmp_seq=25 ttl=64 time=128 ms
64 bytes from 10.0.0.1: icmp_seq=26 ttl=64 time=112 ms
64 bytes from 10.0.0.1: icmp_seq=27 ttl=64 time=367 ms
64 bytes from 10.0.0.1: icmp_seq=28 ttl=64 time=220 ms
64 bytes from 10.0.0.1: icmp_seq=29 ttl=64 time=197 ms
64 bytes from 10.0.0.1: icmp_seq=30 ttl=64 time=317 ms
64 bytes from 10.0.0.1: icmp_seq=31 ttl=64 time=125 ms
64 bytes from 10.0.0.1: icmp_seq=32 ttl=64 time=147 ms
64 bytes from 10.0.0.1: icmp_seq=33 ttl=64 time=110 ms
64 bytes from 10.0.0.1: icmp_seq=34 ttl=64 time=127 ms
64 bytes from 10.0.0.1: icmp_seq=35 ttl=64 time=203 ms
64 bytes from 10.0.0.1: icmp_seq=36 ttl=64 time=256 ms
64 bytes from 10.0.0.1: icmp_seq=37 ttl=64 time=159 ms
64 bytes from 10.0.0.1: icmp_seq=38 ttl=64 time=168 ms
64 bytes from 10.0.0.1: icmp_seq=39 ttl=64 time=112 ms
64 bytes from 10.0.0.1: icmp_seq=40 ttl=64 time=188 ms
64 bytes from 10.0.0.1: icmp_seq=41 ttl=64 time=151 ms
64 bytes from 10.0.0.1: icmp_seq=42 ttl=64 time=177 ms
64 bytes from 10.0.0.1: icmp_seq=43 ttl=64 time=110 ms
64 bytes from 10.0.0.1: icmp_seq=44 ttl=64 time=207 ms
64 bytes from 10.0.0.1: icmp_seq=45 ttl=64 time=185 ms
64 bytes from 10.0.0.1: icmp_seq=46 ttl=64 time=79.9 ms
64 bytes from 10.0.0.1: icmp_seq=47 ttl=64 time=210 ms
64 bytes from 10.0.0.1: icmp_seq=48 ttl=64 time=122 ms
64 bytes from 10.0.0.1: icmp_seq=49 ttl=64 time=263 ms
64 bytes from 10.0.0.1: icmp_seq=50 ttl=64 time=146 ms

--- 10.0.0.1 ping statistics ---
50 packets transmitted, 49 received, 2% packet loss, time 49235ms
rtt min/avg/max/mdev = 79.925/175.328/366.827/57.667 ms
