PING 10.0.0.1 (10.0.0.1) 56(84) bytes of data.
64 bytes from 10.0.0.1: icmp_seq=1 ttl=64 time=94.3 ms
64 bytes from 10.0.0.1: icmp_seq=2 ttl=64 time=286 ms
64 bytes from 10.0.0.1: icmp_seq=3 ttl=64 time=51.7 ms
64 bytes from 10.0.0.1: icmp_seq=4 ttl=64 time=72.5 ms
64 bytes from 10.0.0.1: icmp_seq=5 ttl=64 time=162 ms
64 bytes from 10.0.0.1: icmp_seq=6 ttl=64 time=73.6 ms
64 bytes from 10.0.0.1: icmp_seq=7 ttl=64 time=69.2 ms
64 bytes from 10.0.0.1: icmp_seq=8 ttl=64 time=87.7 ms
64 bytes from 10.0.0.1: icmp_seq=9 ttl=64 time=91.8 ms
64 bytes from 10.0.0.1: icmp_seq=10 ttl=64 time=68.7 ms
64 bytes from 10.0.0.1: icmp_seq=11 ttl=64 time=132 ms
64 bytes from 10.0.0.1: icmp_seq=12 ttl=64 time=28.3 ms
64 bytes from 10.0.0.1: icmp_seq=13 ttl=64 time=62.0 ms
64 bytes from 10.0.0.1: icmp_seq=14 ttl=64 time=95.2 ms
64 bytes from 10.0.0.1: icmp_seq=15 ttl=64 time=89.9 ms
64 bytes from 10.0.0.1: icmp_seq=16 ttl=64 time=57.7 ms
64 bytes from 10.0.0.1: icmp_seq=17 ttl=64 time=78.7 ms
64 bytes from 10.0.0.1: icmp_seq=18 ttl=64 time=111 ms
64 bytes from 10.0.0.1: icmp_seq=19 ttl=64 time=99.7 ms
64 bytes from 10.0.0.1: icmp_seq=20 ttl=64 time=86.6 ms
64 bytes from 10.0.0.1: icmp_seq=21 ttl=64 time=87.5 ms
64 bytes from 10.0.0.1: icmp_seq=22 ttl=64 time=87.0 ms
64 bytes from 10.0.0.1: icmp_seq=23 ttl=64 time=106 ms
64 bytes from 10.0.0.1: icmp_seq=24 ttl=64 time=99.6 ms
64 bytes from 10.0.0.1: icmp_seq=25 ttl=64 time=122 ms
64 bytes from 10.0.0.1: icmp_seq=26 ttl=64 time=105 ms
64 bytes from 10.0.0.1: icmp_seq=27 ttl=64 time=81.3 ms
64 bytes from 10.0.0.1: icmp_seq=28 ttl=64 time=72.0 ms
64 bytes from 10.0.0.1: icmp_seq=29 ttl=64 time=113 ms
64 bytes from 10.0.0.1: icmp_seq=30 ttl=64 time=127 ms
64 bytes from 10.0.0.1: icmp_seq=31 ttl=64 time=110 ms
64 bytes from 10.0.0.1: icmp_seq=32 ttl=64 time=102 ms
64 bytes from 10.0.0.1: icmp_seq=33 ttl=64 time=78.9 ms
64 bytes from 10.0.0.1: icmp_seq=34 ttl=64 time=75.5 ms
64 bytes from 10.0.0.1: icmp_seq=35 ttl=64 time=48.7 ms
64 bytes from 10.0.0.1: icmp_seq=36 ttl=64 time=125 ms
64 bytes from 10.0.0.1: icmp_seq=37 ttl=64 time=94.3 ms
64 bytes from 10.0.0.1: icmp_seq=38 ttl=64 time=104 ms
64 bytes from 10.0.0.1: icmp_seq=39 ttl=64 time=97.5 ms
64 bytes from 10.0.0.1: icmp_seq=40 ttl=64 time=57.0 ms
64 bytes from 10.0.0.1: icmp_seq=41 ttl=64 time=90.0 ms
64 bytes from 10.0.0.1: icmp_seq=42 ttl=64 time=73.6 ms
64 bytes from 10.0.0.1: icmp_seq=43 ttl=64 time=128 ms
64 bytes from 10.0.0.1: icmp_seq=44 ttl=64 time=82.7 ms
64 bytes from 10.0.0.1: icmp_seq=45 ttl=64 time=98.1 ms
64 bytes from 10.0.0.1: icmp_seq=46 ttl=64 time=111 ms
64 bytes from 10.0.0.1: icmp_seq=47 ttl=64 time=79.1 ms
64 bytes from 10.0.0.1: icmp_seq=48 ttl=64 time=118 ms
64 bytes from 10.0.0.1: icmp_seq=49 ttl=64 time=64.8 ms
64 bytes from 10.0.0.1: icmp_seq=50 ttl=64 time=83.0 ms

--- 10.0.0.1 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49099ms
rtt min/avg/max/mdev = 28.337/94.413/286.388/36.542 ms
