top - 15:13:48 up 48 days, 19:21,  3 users,  load average: 9.52, 9.26, 7.18
Tasks: 881 total,   6 running, 875 sleeping,   0 stopped,   0 zombie
%Cpu(s): 14.7 us, 17.4 sy,  0.0 ni, 63.5 id,  0.0 wa,  0.6 hi,  3.9 si,  0.0 st 
MiB Mem :  31223.2 total,    603.5 free,  22949.8 used,   8398.2 buff/cache     
MiB Swap:   8192.0 total,   4376.5 free,   3815.5 used.   8273.3 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
2868214 root      20   0 2563180   1.7g  32328 S 221.4   5.6   4:20.18 nr-soft+
2872118 root      20   0 1642912 662988  18432 S  71.4   2.1   0:45.11 nr-ueso+
2869969 root      20   0 1642912 663208  18432 S  64.3   2.1   1:02.68 nr-ueso+
2873221 root      20   0 1642912 662852  18048 S  64.3   2.1   0:39.58 nr-ueso+
2871114 root      20   0 1642912 663760  18432 S  57.1   2.1   0:53.59 nr-ueso+
2874327 root      20   0 1642912 662388  17664 S  57.1   2.1   0:32.87 nr-ueso+
2868359 root      20   0 1642912 664180  18816 S  50.0   2.1   1:27.63 nr-ueso+
2869097 root      20   0 1642912 662216  18240 S  50.0   2.1   1:13.93 nr-ueso+
2882086 wcsng5g   20   0   23172   4224   3072 R  21.4   0.0   0:00.06 top
     40 root      -2   0       0      0      0 S   7.1   0.0   9:02.96 ktimers+
     49 root      -2   0       0      0      0 S   7.1   0.0   8:36.49 ktimers+
     58 root      -2   0       0      0      0 S   7.1   0.0   8:04.95 ktimers+
     76 root      -2   0       0      0      0 S   7.1   0.0   7:33.40 ktimers+
    119 root      rt   0       0      0      0 S   7.1   0.0   3:27.31 migrati+
    121 root      -2   0       0      0      0 S   7.1   0.0   7:37.90 ktimers+
    138 root      rt   0       0      0      0 S   7.1   0.0   2:26.59 migrati+
    140 root      -2   0       0      0      0 S   7.1   0.0   7:05.57 ktimers+
   1336 avahi     20   0   10876   5060   3456 S   7.1   0.0  88:34.55 avahi-d+
  46282 wcsng5g   20   0 1162.0g 296120 121724 S   7.1   0.9  17:37.58 code
2866723 root      20   0 1238252  12716   9408 S   7.1   0.0   0:00.09 contain+
2867061 root      20   0  326920  17280  15552 S   7.1   0.1   0:01.23 oai_ausf
2867270 root      20   0  551248  19008  16704 S   7.1   0.1   0:00.52 oai_upf
2871963 root      20   0 1237996  13140   9600 S   7.1   0.0   0:00.63 contain+
2881553 root      20   0  156012   2880   2880 S   7.1   0.0   0:00.35 iperf
2881614 root      20   0  156012   2688   2688 S   7.1   0.0   0:00.34 iperf
2881707 root      20   0  156012   2688   2688 S   7.1   0.0   0:00.33 iperf
2881907 root      20   0  156012   2496   2496 S   7.1   0.0   0:00.29 iperf
      1 root      20   0   23700  11504   8244 S   0.0   0.0   3:55.31 systemd
