PING 10.0.0.6 (10.0.0.6) 56(84) bytes of data.
64 bytes from 10.0.0.6: icmp_seq=8 ttl=63 time=121 ms
64 bytes from 10.0.0.6: icmp_seq=9 ttl=63 time=116 ms
64 bytes from 10.0.0.6: icmp_seq=10 ttl=63 time=54.8 ms
64 bytes from 10.0.0.6: icmp_seq=11 ttl=63 time=129 ms
64 bytes from 10.0.0.6: icmp_seq=12 ttl=63 time=238 ms
64 bytes from 10.0.0.6: icmp_seq=13 ttl=63 time=149 ms
64 bytes from 10.0.0.6: icmp_seq=14 ttl=63 time=124 ms
64 bytes from 10.0.0.6: icmp_seq=15 ttl=63 time=118 ms
64 bytes from 10.0.0.6: icmp_seq=16 ttl=63 time=125 ms
64 bytes from 10.0.0.6: icmp_seq=17 ttl=63 time=249 ms
64 bytes from 10.0.0.6: icmp_seq=18 ttl=63 time=164 ms
64 bytes from 10.0.0.6: icmp_seq=19 ttl=63 time=168 ms
64 bytes from 10.0.0.6: icmp_seq=20 ttl=63 time=165 ms
64 bytes from 10.0.0.6: icmp_seq=21 ttl=63 time=146 ms
64 bytes from 10.0.0.6: icmp_seq=22 ttl=63 time=181 ms
64 bytes from 10.0.0.6: icmp_seq=23 ttl=63 time=217 ms
64 bytes from 10.0.0.6: icmp_seq=24 ttl=63 time=170 ms
64 bytes from 10.0.0.6: icmp_seq=25 ttl=63 time=138 ms
64 bytes from 10.0.0.6: icmp_seq=26 ttl=63 time=251 ms
64 bytes from 10.0.0.6: icmp_seq=27 ttl=63 time=149 ms
64 bytes from 10.0.0.6: icmp_seq=28 ttl=63 time=157 ms
64 bytes from 10.0.0.6: icmp_seq=29 ttl=63 time=232 ms
64 bytes from 10.0.0.6: icmp_seq=30 ttl=63 time=136 ms
64 bytes from 10.0.0.6: icmp_seq=31 ttl=63 time=152 ms
64 bytes from 10.0.0.6: icmp_seq=32 ttl=63 time=189 ms
64 bytes from 10.0.0.6: icmp_seq=33 ttl=63 time=120 ms
64 bytes from 10.0.0.6: icmp_seq=34 ttl=63 time=154 ms
64 bytes from 10.0.0.6: icmp_seq=35 ttl=63 time=171 ms
64 bytes from 10.0.0.6: icmp_seq=36 ttl=63 time=210 ms
64 bytes from 10.0.0.6: icmp_seq=37 ttl=63 time=224 ms
64 bytes from 10.0.0.6: icmp_seq=38 ttl=63 time=132 ms
64 bytes from 10.0.0.6: icmp_seq=39 ttl=63 time=256 ms
64 bytes from 10.0.0.6: icmp_seq=40 ttl=63 time=191 ms
64 bytes from 10.0.0.6: icmp_seq=41 ttl=63 time=134 ms
64 bytes from 10.0.0.6: icmp_seq=42 ttl=63 time=127 ms
64 bytes from 10.0.0.6: icmp_seq=43 ttl=63 time=159 ms
64 bytes from 10.0.0.6: icmp_seq=44 ttl=63 time=141 ms
64 bytes from 10.0.0.6: icmp_seq=45 ttl=63 time=186 ms
64 bytes from 10.0.0.6: icmp_seq=46 ttl=63 time=160 ms
64 bytes from 10.0.0.6: icmp_seq=47 ttl=63 time=137 ms
64 bytes from 10.0.0.6: icmp_seq=48 ttl=63 time=246 ms
64 bytes from 10.0.0.6: icmp_seq=49 ttl=63 time=149 ms
64 bytes from 10.0.0.6: icmp_seq=50 ttl=63 time=152 ms

--- 10.0.0.6 ping statistics ---
50 packets transmitted, 43 received, 14% packet loss, time 49226ms
rtt min/avg/max/mdev = 54.838/164.748/255.830/43.853 ms
